INFO:__main__:Loading input file: data/processed/texas_hvac_for_email_scraping.csv
INFO:__main__:Starting parallel processing with 30 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/texas_hvac_for_email_scraping.csv
Output file:       data/processed/texas_hvac_with_emails.csv
Total URLs:        321
Mode:              custom
Workers:           30

Configuration:
  Check static:    False
  Extract emails:  True
  Extract phones:  False
  Scrape mode:     smart
  AI analysis:     False

Estimated time:    2.2 min (133.8 sec)
================================================================================

[223/321] 69.5% | ETA: 1.0min | Speed: 1.6 items/sec | http://www.temperatureprodallas.com/?utm_source=go - success
[224/321] 69.8% | ETA: 1.0min | Speed: 1.6 items/sec | https://www.bevillstexas.com/?utm_source=GMB&utm_m - success
[225/321] 70.1% | ETA: 1.0min | Speed: 1.6 items/sec | http://craigairconditioning.com/                   - success
[226/321] 70.4% | ETA: 1.0min | Speed: 1.6 items/sec | https://www.deltaairpro.com/                       - success
[227/321] 70.7% | ETA: 1.0min | Speed: 1.6 items/sec | https://www.txcentralservices.com/                 - success
[228/321] 71.0% | ETA: 60s | Speed: 1.6 items/sec | http://www.atomic-ac.com/                          - success
[229/321] 71.3% | ETA: 59s | Speed: 1.6 items/sec | https://www.getyourairfix.com/                     - success
[230/321] 71.7% | ETA: 58s | Speed: 1.6 items/sec | https://accurateairsolutionsllc.com/               - success
[231/321] 72.0% | ETA: 57s | Speed: 1.6 items/sec | http://www.pmech.org/                              - success
[232/321] 72.3% | ETA: 57s | Speed: 1.6 items/sec | https://universalclimatecontrol.com/               - success
[233/321] 72.6% | ETA: 56s | Speed: 1.6 items/sec | https://www.morganairbcs.net/                      - http_error_202
[234/321] 72.9% | ETA: 55s | Speed: 1.6 items/sec | https://www.aireserv.com/aggieland/?cid=LSTL_ASV-U - http_error_403
[235/321] 73.2% | ETA: 54s | Speed: 1.6 items/sec | http://www.batjer.com/                             - success
