INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[121/281] 43.1% | ETA: 52s | Speed: 3.1 items/sec | http://www.revairtx.com/                           - dynamic
[122/281] 43.4% | ETA: 52s | Speed: 3.1 items/sec | https://www.coolcareac.com/?utm_source=gbp&utm_med - success
[123/281] 43.8% | ETA: 51s | Speed: 3.1 items/sec | https://callblueleafhvac.com/                      - dynamic
[124/281] 44.1% | ETA: 51s | Speed: 3.1 items/sec | https://bakerbrothersplumbing.com/?utm_campaign=gm - dynamic
[125/281] 44.5% | ETA: 50s | Speed: 3.1 items/sec | https://chapmanair.com/?utm_source=googlebusinessp - success
[126/281] 44.8% | ETA: 49s | Speed: 3.1 items/sec | https://www.northwindac.com/                       - http_error_403
[127/281] 45.2% | ETA: 50s | Speed: 3.1 items/sec | https://airdynastyac.com/?utm_source=google&utm_me - success
[128/281] 45.6% | ETA: 50s | Speed: 3.1 items/sec | http://www.callhoustonhvac.com/                    - success
[129/281] 45.9% | ETA: 49s | Speed: 3.1 items/sec | https://becoolachouston.com/?utm_source=google&utm - success
[130/281] 46.3% | ETA: 48s | Speed: 3.1 items/sec | https://justfixittoday.com/locations/houston/?utm_ - success
[131/281] 46.6% | ETA: 48s | Speed: 3.1 items/sec | https://www.airstarnow.com/                        - success
[132/281] 47.0% | ETA: 48s | Speed: 3.1 items/sec | https://mondragonac.com/                           - dynamic
[133/281] 47.3% | ETA: 47s | Speed: 3.1 items/sec | https://www.billygo.com/service-area/dallas-tx/    - success
[134/281] 47.7% | ETA: 47s | Speed: 3.1 items/sec | https://www.valderramainc.com/                     - success
[135/281] 48.0% | ETA: 47s | Speed: 3.1 items/sec | https://www.abacusplumbing.net/?utm_campaign=gmb_a - success
[136/281] 48.4% | ETA: 46s | Speed: 3.2 items/sec | https://airtonheatingac.com/?utm_source=organic&ut - success
[137/281] 48.8% | ETA: 45s | Speed: 3.2 items/sec | http://www.kandsac.com/                            - success
[138/281] 49.1% | ETA: 45s | Speed: 3.2 items/sec | https://www.ars.com/houston?utm_source=google&utm_ - success
[139/281] 49.5% | ETA: 45s | Speed: 3.2 items/sec | https://www.dynamicflowhvac.com/                   - dynamic
[140/281] 49.8% | ETA: 44s | Speed: 3.2 items/sec | http://jadeair.net/                                - success
[141/281] 50.2% | ETA: 44s | Speed: 3.2 items/sec | https://24sevenac.net/?utm_campaign=gmb            - success
[142/281] 50.5% | ETA: 43s | Speed: 3.2 items/sec | https://quigleyac.com/?utm_source=google+business+ - success
